index,Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
42555,us,scotts valley,37.0511111,-122.0136111,49.19,65.0,1.0,3.36
6331,cn,songling,31.193303000000004,120.717577,53.6,66.0,75.0,13.42
46151,us,stoughton,42.9169444,-89.2177778,37.99,86.0,90.0,6.87
8068,cz,lazne belohrad,50.428875,15.582745000000001,32.0,93.0,75.0,10.29
45368,us,florida,18.3652778,-66.5675,63.34,93.0,90.0,4.7
5426,ch,morges,46.511255,6.495693,28.51,86.0,75.0,3.36
29471,ph,pawa,11.565833,122.849167,83.62,79.0,36.0,5.14
22031,ke,mumias,0.3363889,34.4891667,64.4,88.0,0.0,6.08
27215,ph,balele,14.065320999999999,121.093632,86.0,79.0,40.0,6.93
42421,us,millbrae,37.59861110000001,-122.38611110000001,48.88,66.0,1.0,6.93
3080,br,itaborai,-22.75,-42.866667,74.32,94.0,75.0,6.93
33721,ro,ogra,46.433333000000005,24.316667000000002,33.8,86.0,80.0,5.82
42940,us,olympia heights,25.7263889,-80.3555556,70.03,69.0,20.0,4.7
37864,ru,razdolinsk,58.421110999999996,94.66583299999999,19.36,76.0,76.0,8.32
46512,ws,vaigaga,-13.816666699999999,-171.8,,,,
1284,bd,dohar,23.588333300000002,90.1469444,78.8,65.0,0.0,3.36
37547,ru,pargolovo,60.05,30.316667,32.0,98.0,75.0,6.71
25160,nc,dumbea,-22.15,166.45,86.0,48.0,20.0,18.34
13857,gr,limni,38.7666667,23.3166667,48.2,76.0,20.0,5.82
38272,ru,sosnovka,53.235925,41.368593,29.04,93.0,88.0,11.07
13893,gr,mantamados,39.3116667,26.333888899999998,64.4,82.0,40.0,10.29
3459,br,natuba,-7.633333,-35.566666999999995,74.26,89.0,92.0,4.59
26779,pe,san pedro de lloc,-7.432777799999999,-79.50583329999999,62.47,97.0,80.0,14.2
16729,ie,wexford,52.334166700000004,-6.4575,,,,
14630,gt,san martin sacatepequez,14.816667,-91.65,48.97,91.0,0.0,1.9
9863,de,wilnsdorf,50.816666999999995,8.1,39.2,93.0,90.0,4.7
40547,tr,cizre,37.327222,42.190278,41.46,70.0,0.0,2.57
29123,ph,meycauayan,14.7328,120.96,87.03,79.0,40.0,6.93
29177,ph,munoz,17.15754,121.61354399999999,84.97,70.0,68.0,2.01
13703,gr,kato khorion,35.05,25.783333300000002,60.8,82.0,20.0,5.82
31762,pt,rio de loba,40.665962,-7.877814,21.57,75.0,0.0,3.8
13523,gr,eleousa,39.15138889999999,20.9855556,39.52,100.0,92.0,1.79
43535,us,atchison,39.563055600000006,-95.12138890000001,62.6,72.0,1.0,21.92
19611,in,tinsukia,27.5,95.366667,71.6,64.0,20.0,5.82
42920,us,myrtle grove,30.420833299999998,-87.3075,57.58,100.0,1.0,2.06
22807,mg,ikongo,-21.8833333,47.4333333,73.99,83.0,0.0,3.85
22641,lv,livani,56.3666667,26.1833333,24.72,89.0,76.0,10.63
